,Artists,Songs,Position,Week
570,Jonas Brothers,Waffle House,71.0,2023-06-10
571,Lil Durk,Put Em On Ice,72.0,2023-06-10
572,Lil Durk,300 Urus,73.0,2023-06-10
573,Lil Durk,Sad Songs,74.0,2023-06-10
574,Justin Moore &amp; Priscilla Block,"You, Me, &amp; Whiskey",75.0,2023-06-10
575,Lil Durk Featuring Kodak Black,Grandson,76.0,2023-06-10
576,Doechii Featuring Kodak Black,What It Is (Block Boy),77.0,2023-06-10
577,Morgan Wallen,Ain't That Some,78.0,2023-06-10
578,Coco Jones,ICU,79.0,2023-06-10
579,DaBaby,Shake Sumn,80.0,2023-06-10
580,Jon Pardi,Your Heart Or Mine,81.0,2023-06-10
581,Lil Durk,Before Fajr,82.0,2023-06-10
582,Lil Durk,B12,83.0,2023-06-10
583,Yahritza y Su Esencia x Grupo Frontera,Fragil,84.0,2023-06-10
584,Rod Wave,Fight The Feeling,85.0,2023-06-10
585,Lil Durk,You Got Em,86.0,2023-06-10
586,"David Guetta, Anne-Marie &amp; Coi Leray",Baby Don't Hurt Me,87.0,2023-06-10
587,Rosalia &amp; Rauw Alejandro,Beso,88.0,2023-06-10
588,Lil Baby,Low Down,89.0,2023-06-10
589,Lana Del Rey,Say Yes To Heaven,90.0,2023-06-10
590,Libianca,People,91.0,2023-06-10
591,Yandel &amp; Feid,Yandel 150,92.0,2023-06-10
592,Chino Pacas,El Gordo Trae El Mando,93.0,2023-06-10
593,Kane Brown,Bury Me In Georgia,94.0,2023-06-10
594,Morgan Wallen,I Wrote The Book,95.0,2023-06-10
595,Kali Uchis,Moonlight,96.0,2023-06-10
596,Lil Mabu,Mathematical Disrespect,97.0,2023-06-10
597,Morgan Wallen,Everything I Love,98.0,2023-06-10
598,"Metro Boomin, Travis Scott &amp; Young Thug",Trance,99.0,2023-06-10
599,Morgan Wallen Featuring Eric Church,Man Made A Bar,100.0,2023-06-10
600,Morgan Wallen,Last Night,1.0,2023-06-03
601,Miley Cyrus,Flowers,2.0,2023-06-03
602,SZA,Kill Bill,3.0,2023-06-03
603,Rema &amp; Selena Gomez,Calm Down,4.0,2023-06-03
604,Toosii,Favorite Song,5.0,2023-06-03
605,Eslabon Armado X Peso Pluma,Ella Baila Sola,6.0,2023-06-03
606,Lil Durk Featuring J. Cole,All My Life,7.0,2023-06-03
607,Bad Bunny,Where She Goes,8.0,2023-06-03
608,"Metro Boomin, The Weeknd &amp; 21 Savage",Creepin',9.0,2023-06-03
609,Luke Combs,Fast Car,10.0,2023-06-03
610,The Weeknd &amp; Ariana Grande,Die For You,11.0,2023-06-03
611,Taylor Swift,Anti-Hero,12.0,2023-06-03
612,Miguel,Sure Thing,13.0,2023-06-03
613,Grupo Frontera X Bad Bunny,Un x100to,14.0,2023-06-03
614,PinkPantheress &amp; Ice Spice,"Boy's A Liar, Pt. 2",15.0,2023-06-03
615,Drake,Search &amp; Rescue,16.0,2023-06-03
616,Zach Bryan,Something In The Orange,17.0,2023-06-03
617,Yng Lvcas x Peso Pluma,La Bebe,18.0,2023-06-03
618,Bailey Zimmerman,Rock And A Hard Place,19.0,2023-06-03
619,Fifty Fifty,Cupid,20.0,2023-06-03
620,Post Malone,Chemical,21.0,2023-06-03
621,Harry Styles,As It Was,22.0,2023-06-03
622,Morgan Wallen,You Proof,23.0,2023-06-03
623,Tyler Hubbard,Dancin' In The Country,24.0,2023-06-03
624,Morgan Wallen,Thinkin' Bout Me,25.0,2023-06-03
625,Morgan Wallen,One Thing At A Time,26.0,2023-06-03
626,Taylor Swift Featuring Ice Spice,Karma,27.0,2023-06-03
627,SZA,Snooze,28.0,2023-06-03
628,Coi Leray,Players,29.0,2023-06-03
629,David Guetta &amp; Bebe Rexha,I'm Good (Blue),30.0,2023-06-03
630,Ed Sheeran,Eyes Closed,31.0,2023-06-03
631,Kane Brown With Katelyn Brown,Thank God,32.0,2023-06-03
632,Kaliii,Area Codes,33.0,2023-06-03
633,Morgan Wallen,Thought You Should Know,34.0,2023-06-03
634,Fuerza Regida,TQM,35.0,2023-06-03
635,Post Malone,Mourning,36.0,2023-06-03
636,Chris Brown,Under The Influence,37.0,2023-06-03
637,Beyonce Featuring Kendrick Lamar,America Has A Problem,38.0,2023-06-03
638,Jordan Davis,Next Thing You Know,39.0,2023-06-03
639,Jelly Roll,Need A Favor,40.0,2023-06-03
640,Megan Moroney,Tennessee Orange,41.0,2023-06-03
641,Peso Pluma,Por Las Noches,42.0,2023-06-03
642,Ice Spice &amp; Nicki Minaj,Princess Diana,43.0,2023-06-03
643,Peso Pluma X Natanael Cano,PRC,44.0,2023-06-03
644,Luke Combs,Love You Anyway,45.0,2023-06-03
645,Drake &amp; 21 Savage,Spin Bout U,46.0,2023-06-03
646,Sam Smith &amp; Kim Petras,Unholy,47.0,2023-06-03
647,Bailey Zimmerman,Religiously,48.0,2023-06-03
648,Taylor Swift,Cruel Summer,49.0,2023-06-03
649,Lil Uzi Vert,Just Wanna Rock,50.0,2023-06-03
650,David Kushner,Daylight,51.0,2023-06-03
651,"Tyler, The Creator Featuring Kali Uchis",See You Again,52.0,2023-06-03
652,Karol G x Shakira,TQG,53.0,2023-06-03
653,Lana Del Rey,Say Yes To Heaven,54.0,2023-06-03
654,NLE Choppa,Slut Me Out,55.0,2023-06-03
655,Junior H x Peso Pluma,El Azul,56.0,2023-06-03
656,Old Dominion,Memory Lane,57.0,2023-06-03
657,"Gabito Ballesteros, Peso Pluma &amp; Natanael Cano",AMG,58.0,2023-06-03
658,Lil Mabu,Mathematical Disrespect,59.0,2023-06-03
659,Becky G &amp; Peso Pluma,Chanel,60.0,2023-06-03
660,Cody Johnson,Human,61.0,2023-06-03
661,Scotty McCreery,It Matters To Her,62.0,2023-06-03
662,Summer Walker &amp; J. Cole,"To Summer, From Cole (Audio Hug)",63.0,2023-06-03
663,Jonas Brothers,Waffle House,64.0,2023-06-03
664,"Kodak Black, NLE Choppa, Jimin, JVKE &amp; Muni Long","Angel, Pt. 1",65.0,2023-06-03
665,Morgan Wallen Featuring ERNEST,Cowgirls,66.0,2023-06-03
666,Coco Jones,ICU,67.0,2023-06-03
667,Rod Wave,Fight The Feeling,68.0,2023-06-03
668,DaBaby,Shake Sumn,69.0,2023-06-03
669,Yahritza y Su Esencia x Grupo Frontera,Fragil,70.0,2023-06-03
670,Chino Pacas,El Gordo Trae El Mando,71.0,2023-06-03
671,Morgan Wallen,Ain't That Some,72.0,2023-06-03
672,The Weeknd Featuring Future,Double Fantasy,73.0,2023-06-03
673,Lil Baby,Low Down,74.0,2023-06-03
674,Doechii Featuring Kodak Black,What It Is (Block Boy),75.0,2023-06-03
675,Lil Baby,Go Hard,76.0,2023-06-03
676,Rosalia &amp; Rauw Alejandro,Beso,77.0,2023-06-03
677,Sabrina Carpenter,Nonsense,78.0,2023-06-03
678,"Metro Boomin, Travis Scott &amp; Young Thug",Trance,79.0,2023-06-03
679,Kali Uchis,Moonlight,80.0,2023-06-03
680,Yandel &amp; Feid,Yandel 150,81.0,2023-06-03
681,Justin Moore &amp; Priscilla Block,"You, Me, &amp; Whiskey",82.0,2023-06-03
682,Nicki Minaj,Red Ruby Da Sleeze,83.0,2023-06-03
683,Morgan Wallen,I Wrote The Book,84.0,2023-06-03
684,Ed Sheeran Featuring Luke Combs,Life Goes On,85.0,2023-06-03
685,Fuerza Regida X Natanael Cano,Ch y La Pizza,86.0,2023-06-03
686,Dan + Shay,You,87.0,2023-06-03
687,Morgan Wallen Featuring Eric Church,Man Made A Bar,88.0,2023-06-03
688,Jon Pardi,Your Heart Or Mine,89.0,2023-06-03
689,Miley Cyrus,Jaded,90.0,2023-06-03
690,Morgan Wallen,Everything I Love,91.0,2023-06-03
691,Libianca,People,92.0,2023-06-03
692,Superstar Pride,Painting Pictures,93.0,2023-06-03
693,Kane Brown,Bury Me In Georgia,94.0,2023-06-03
694,Fuerza Regida &amp; Peso Pluma,Igualito A Mi Apa,95.0,2023-06-03
695,"David Guetta, Anne-Marie &amp; Coi Leray",Baby Don't Hurt Me,96.0,2023-06-03
696,Nate Smith,Wreckage,97.0,2023-06-03
697,Don Toliver Featuring Justin Bieber &amp; Future,Private Landing,98.0,2023-06-03
698,Ice Spice,In Ha Mood,99.0,2023-06-03
699,Lil Baby Featuring Fridayy,Forever,100.0,2023-06-03
700,Morgan Wallen,Last Night,1.0,2023-05-27
701,Lil Durk Featuring J. Cole,All My Life,2.0,2023-05-27
702,Miley Cyrus,Flowers,3.0,2023-05-27
703,SZA,Kill Bill,4.0,2023-05-27
704,Eslabon Armado X Peso Pluma,Ella Baila Sola,5.0,2023-05-27
705,Rema &amp; Selena Gomez,Calm Down,6.0,2023-05-27
706,"Metro Boomin, The Weeknd &amp; 21 Savage",Creepin',7.0,2023-05-27
707,Toosii,Favorite Song,8.0,2023-05-27
708,Luke Combs,Fast Car,9.0,2023-05-27
709,Taylor Swift,Anti-Hero,10.0,2023-05-27
710,The Weeknd &amp; Ariana Grande,Die For You,11.0,2023-05-27
711,Grupo Frontera X Bad Bunny,Un x100to,12.0,2023-05-27
712,PinkPantheress &amp; Ice Spice,"Boy's A Liar, Pt. 2",13.0,2023-05-27
713,Miguel,Sure Thing,14.0,2023-05-27
714,Bailey Zimmerman,Rock And A Hard Place,15.0,2023-05-27
715,Yng Lvcas x Peso Pluma,La Bebe,16.0,2023-05-27
716,Drake,Search &amp; Rescue,17.0,2023-05-27
717,Fifty Fifty,Cupid,18.0,2023-05-27
718,Morgan Wallen,You Proof,19.0,2023-05-27
719,Zach Bryan,Something In The Orange,20.0,2023-05-27
720,Harry Styles,As It Was,21.0,2023-05-27
721,Post Malone,Chemical,22.0,2023-05-27
722,Tyler Hubbard,Dancin' In The Country,23.0,2023-05-27
723,Coi Leray,Players,24.0,2023-05-27
724,Morgan Wallen,Thinkin' Bout Me,25.0,2023-05-27
725,Ed Sheeran,Eyes Closed,26.0,2023-05-27
726,David Guetta &amp; Bebe Rexha,I'm Good (Blue),27.0,2023-05-27
727,Kane Brown With Katelyn Brown,Thank God,28.0,2023-05-27
728,SZA,Snooze,29.0,2023-05-27
729,Morgan Wallen,One Thing At A Time,30.0,2023-05-27
730,Morgan Wallen,Thought You Should Know,31.0,2023-05-27
731,Taylor Swift Featuring Ice Spice,Karma,32.0,2023-05-27
732,Kaliii,Area Codes,33.0,2023-05-27
733,Chris Brown,Under The Influence,34.0,2023-05-27
734,Megan Moroney,Tennessee Orange,35.0,2023-05-27
735,Peso Pluma,Por Las Noches,36.0,2023-05-27
736,Jordan Davis,Next Thing You Know,37.0,2023-05-27
737,Ice Spice &amp; Nicki Minaj,Princess Diana,38.0,2023-05-27
738,Peso Pluma X Natanael Cano,PRC,39.0,2023-05-27
739,Bailey Zimmerman,Religiously,40.0,2023-05-27
740,Drake &amp; 21 Savage,Spin Bout U,41.0,2023-05-27
741,Sam Smith &amp; Kim Petras,Unholy,42.0,2023-05-27
742,Lil Uzi Vert,Just Wanna Rock,43.0,2023-05-27
743,Luke Combs,Love You Anyway,44.0,2023-05-27
744,Drake &amp; 21 Savage,Rich Flex,45.0,2023-05-27
745,"Tyler, The Creator Featuring Kali Uchis",See You Again,46.0,2023-05-27
746,Lil Mabu,Mathematical Disrespect,47.0,2023-05-27
747,Corey Kent,Wild As Her,48.0,2023-05-27
748,Karol G x Shakira,TQG,49.0,2023-05-27
749,"Metro Boomin, Future &amp; Chris Brown",Superhero (Heroes &amp; Villains),50.0,2023-05-27
750,NLE Choppa,Slut Me Out,51.0,2023-05-27
751,David Kushner,Daylight,52.0,2023-05-27
752,Parker McCollum,Handle On You,53.0,2023-05-27
753,"Gabito Ballesteros, Peso Pluma &amp; Natanael Cano",AMG,54.0,2023-05-27
754,Junior H x Peso Pluma,El Azul,55.0,2023-05-27
755,Jelly Roll,Need A Favor,56.0,2023-05-27
756,Jonas Brothers,Waffle House,57.0,2023-05-27
757,The Weeknd Featuring Future,Double Fantasy,58.0,2023-05-27
758,Sabrina Carpenter,Nonsense,59.0,2023-05-27
759,Becky G &amp; Peso Pluma,Chanel,60.0,2023-05-27
760,Cody Johnson,Human,61.0,2023-05-27
761,YoungBoy Never Broke Again,Bitch Let's Do It,62.0,2023-05-27
762,Old Dominion,Memory Lane,63.0,2023-05-27
763,Coco Jones,ICU,64.0,2023-05-27
764,Scotty McCreery,It Matters To Her,65.0,2023-05-27
765,Ed Sheeran Featuring Luke Combs,Life Goes On,66.0,2023-05-27
766,Morgan Wallen Featuring ERNEST,Cowgirls,67.0,2023-05-27
767,Morgan Wallen,Ain't That Some,68.0,2023-05-27
768,Yahritza y Su Esencia x Grupo Frontera,Fragil,69.0,2023-05-27
769,Rod Wave,Fight The Feeling,70.0,2023-05-27
770,Lil Baby,Low Down,71.0,2023-05-27
771,Chino Pacas,El Gordo Trae El Mando,72.0,2023-05-27
772,Nicki Minaj,Red Ruby Da Sleeze,73.0,2023-05-27
773,DaBaby,Shake Sumn,74.0,2023-05-27
774,Yandel &amp; Feid,Yandel 150,75.0,2023-05-27
775,"Metro Boomin, Travis Scott &amp; Young Thug",Trance,76.0,2023-05-27
776,Rosalia &amp; Rauw Alejandro,Beso,77.0,2023-05-27
777,Superstar Pride,Painting Pictures,78.0,2023-05-27
778,Morgan Wallen,I Wrote The Book,79.0,2023-05-27
779,Doechii Featuring Kodak Black,What It Is (Block Boy),80.0,2023-05-27
780,Lil Baby,Go Hard,81.0,2023-05-27
781,Morgan Wallen,Everything I Love,82.0,2023-05-27
782,Kali Uchis,Moonlight,83.0,2023-05-27
783,Shakira,Acrostico,84.0,2023-05-27
784,Kane Brown,Bury Me In Georgia,85.0,2023-05-27
785,Morgan Wallen Featuring Eric Church,Man Made A Bar,86.0,2023-05-27
786,YoungBoy Never Broke Again,F**k The Industry Pt. 2,87.0,2023-05-27
787,Fuerza Regida X Natanael Cano,Ch y La Pizza,88.0,2023-05-27
788,Libianca,People,89.0,2023-05-27
789,Fuerza Regida &amp; Peso Pluma,Igualito A Mi Apa,90.0,2023-05-27
790,Justin Moore &amp; Priscilla Block,"You, Me, &amp; Whiskey",91.0,2023-05-27
791,Lizzy McAlpine,Ceilings,92.0,2023-05-27
792,Ice Spice,In Ha Mood,93.0,2023-05-27
793,Hailey Whitters,Everything She Ain't,94.0,2023-05-27
794,Jon Pardi,Your Heart Or Mine,95.0,2023-05-27
795,Lil Baby Featuring Fridayy,Forever,96.0,2023-05-27
796,Don Toliver Featuring Justin Bieber &amp; Future,Private Landing,97.0,2023-05-27
797,YoungBoy Never Broke Again,I Heard,98.0,2023-05-27
798,Morgan Wallen,Sunrise,99.0,2023-05-27
799,NF,Happy,100.0,2023-05-27
